Model,MAE,MSE,RMSE,R2 Score
Linear Regression,1.749292047581921,7.7875063563553155,2.790610391358012,0.5916354516538853
Gradient Boosting,1.7569608728255728,7.835379057630902,2.7991747100941917,0.589125082719347
Random Forest,1.9273122807017544,8.561534456140352,2.9260099890705007,0.5510466391493583
XGBoost,1.9321365978843288,8.804718994949578,2.9672746746719585,0.538294425563742
SVR,1.821014241045565,9.390947418437134,3.0644652744707574,0.5075535318256864
KNN,2.261473684210526,11.261838596491227,3.3558662959795087,0.40944694982498064
Decision Tree,2.6726315789473682,17.954736842105262,4.237303015138906,0.0584819240351544
