Model,MAE,MSE,RMSE,R2 Score
Linear Regression,1.4819465462490418,2.858466553146985,1.6907000186748047,-0.004236757262329638
Gradient Boosting,1.482705016358759,2.8634305519240253,1.6921674124991373,-0.005980709812490215
XGBoost,1.4826911191772996,2.8634511089747434,1.6921734866658156,-0.005987931917618372
Decision Tree,1.4826906774023334,2.8634521314686627,1.6921737887902244,-0.005988291140285096
Random Forest,1.4828728799065407,2.864354759196352,1.6924404743435888,-0.006305402404459759
SVR,1.4914160004809054,2.998686482509152,1.7316715862163796,-0.05349883696418556
KNN,1.5615438596491227,3.4109754385964908,1.8468826271846543,-0.1983442345289721
